repo_path,repo_sha256,archive_path,match_status
UK_analysis/tut.cpp,08576ddaabd19100115aecc362bbea01b9ed9f2ab904db1384b4ba6f14272ecd,Europe/stratified/tut.cpp,exact_match
UK_analysis/tut.cpp,08576ddaabd19100115aecc362bbea01b9ed9f2ab904db1384b4ba6f14272ecd,UK/tut.cpp,exact_match
USA_analysis/01_data_process.R,e20a8997549867a39494f721372d980a7d1b26f8d0b953d4227d9395ab5b7a9e,North_America/sex-stratified/USA/data_process.R,exact_match
USA_analysis/02_analysis.R,eab01495a6180644a4fbb238c12442c483a11df278fe9e72c40a96207809281f,North_America/sex-stratified/USA/script_server.R,exact_match
USA_analysis/03_plot_aggregate.R,5ae1f1b341c721115cdaf1c1b70434689ca47a5301f0e2f107557b913a1bb7a2,North_America/sex-stratified/USA/plot_aggregate.R,exact_match
USA_analysis/04_plot_map.R,7980013a147c536b4c2f9874cc1094592324f4a18740bcd1afe58aeb634a3a99,North_America/sex-stratified/USA/plot_map.R,exact_match
USA_analysis/05_plot_series.R,27e4c75335d05003e7eea93fd66ea678c95e7d2ffb361db7e5ee742a9db5a100,North_America/sex-stratified/USA/plot_series.R,exact_match
USA_analysis/06_prepare_table.R,9e4d174aff6124eef9052bb54776e007c10499c0c0b56bb35ae4dbc8d451088a,NA,no_exact_match
USA_analysis/07_pscore_diff.R,2f4436931ace8ced050e2e62b109aee5ede0c6be841dc7a560dec1ee44c7488b,North_America/sex-stratified/USA/pscore_diff.R,exact_match
USA_analysis/function.R,f201bd86a5af29b8979e56bc8fec555fa8161751ed1cd0b4d350ca83d3071b19,NA,no_exact_match
USA_analysis/non_sex_stratified/01_data_process.R,12c15f0e61b134d1e02c6ddfc13c63027c27ef2c43ea2af47f47279b904e2851,North_America/non-stratified/USA/data_process.R,exact_match
USA_analysis/non_sex_stratified/02_analysis.R,d534a6f40996483245099e60380db6a5ff1edf157ea7e51ce3bcdab7aadddec7,North_America/non-stratified/USA/script_server.R,exact_match
USA_analysis/non_sex_stratified/03_plot_aggregate.R,69015e5c022c0ea8f053d0d7aa53ee2cceaef941b921098a851be4087760d12b,North_America/non-stratified/USA/plot_aggregate.R,exact_match
USA_analysis/non_sex_stratified/04_plot_map.R,91ab9fd520b16baf32e5e853ce0ccd4662f5b46ce7bd41bb90ef1c96ffce8aff,North_America/non-stratified/USA/plot_map.R,exact_match
USA_analysis/non_sex_stratified/05_plot_series.R,c0d1cca784703f9ac3457e338dde5404d80bac0bded70aea9a8058e9e6491a48,North_America/non-stratified/USA/plot_series.R,exact_match
USA_analysis/non_sex_stratified/06_plot_pscore_aggregated.R,474423a2960f2a63d227fec0e332cdf91fd7b45d133e27ddd537fe6235867151,North_America/non-stratified/USA/plot_pscore_aggregated.R,exact_match
USA_analysis/non_sex_stratified/function.R,a8b893604a6b27b140d5bfc72c1f6d158cd6acf9d63654d3e3c5a6aa1283a7d7,North_America/non-stratified/USA/function.R,exact_match
ireland_analysis/01_data_process.R,8b3239f5bd2c606d2af3923b8a25ab005ddb7bcb859efb1d7a751e1b47fc7f34,Ireland/data_process.R,exact_match
ireland_analysis/02_script_IE.R,8202aed8e07973f51d336a129afbf3a4f36cefadc62425b96f942eee4afd0615,Ireland/script_IE.R,exact_match
ireland_analysis/function.R,06d7abb4f6dfd9ccc614c7370ade779d36c5375a71085e8f143cea0e1e4b034c,Ireland/IE_result/function.R,exact_match
ireland_analysis/function.R,06d7abb4f6dfd9ccc614c7370ade779d36c5375a71085e8f143cea0e1e4b034c,Ireland/function.R,exact_match
ireland_analysis/mixed.cpp,8876a32b0b150b6599e71d78238297e5c4273f5f4f4f5dadd2dfcda1ec0b2a96,Ireland/IE_result/mixed.cpp,exact_match
ireland_analysis/mixed.cpp,8876a32b0b150b6599e71d78238297e5c4273f5f4f4f5dadd2dfcda1ec0b2a96,Ireland/mixed.cpp,exact_match
scripts/build_provenance_manifest.R,976f1c80a6e5142019ef7f09ab4c1b48aadfdb6b75005da44fbaaa5d69575e39,NA,no_exact_match
tests/testthat/test-provenance.R,ced3f899f258c1062a6a3d7ec1e43a254b86f11a88fcd3c963f88fb90c672fd9,NA,no_exact_match
